2020-01-09 09:17:19.885 [main] INFO  com.steer.data.MainApplication - Starting MainApplication on LAPTOP-7R3MC37Q with PID 32380 (E:\workspace\javaprojects\ideaprojects\icore-data-common\target\classes started by syhleo in E:\workspace\javaprojects\ideaprojects\icore-data-common)
2020-01-09 09:17:19.931 [main] INFO  com.steer.data.MainApplication - The following profiles are active: dev,quartz
2020-01-09 09:17:20.067 [main] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@4c402120: startup date [Thu Jan 09 09:17:20 CST 2020]; root of context hierarchy
2020-01-09 09:17:22.087 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-01-09 09:17:22.723 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$55477099] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-01-09 09:17:22.839 [main] INFO  o.s.w.s.a.server.AnnotationActionEndpointMapping - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
2020-01-09 09:17:22.942 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$b0afab9a] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-01-09 09:17:24.815 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-01-09 09:17:24.857 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-01-09 09:17:24.875 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-01-09 09:17:24.875 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.31
